ID,型,お題,属性,心の読み,A側の表記,B側の表記,掛けた対象,完成文章,人間の評価
,完全な同音異義語型,窯から出したばかりの火傷しそうなほど熱いパン,物理的に温度が高いこと、慎重に扱うべきであること,あつい,熱い,厚い,部下から厚い信頼を寄せられている上司,窯から出したばかりの火傷しそうなほど熱いパンとかけて、部下から厚い信頼を寄せられている上司と解く。その心は「どちらも『あつい』でしょう。」,
,完全な同音異義語型,窯から出したばかりの火傷しそうなほど熱いパン,焼きあがったばかりの状態,あがり,焼きあがり,風呂上がり,お風呂から上がりたての人,窯から出したばかりの火傷しそうなほど熱いパンとかけて、お風呂から上がりたての人と解く。その心は「どちらも『あがり』でしょう。」,
,多義語型,窯から出したばかりの火傷しそうなほど熱いパン,物理的に温度が下がる様子,さめる,冷める (温度が下がる),冷める (興味や情熱が薄れる),恋人への気持ち,窯から出したばかりの火傷しそうなほど熱いパンとかけて、恋人への気持ちと解く。その心は「どちらも『さめる』と美味しくないでしょう。」,
,多義語型,窯から出したばかりの火傷しそうなほど熱いパン,パンを切り分ける行為,きり,切り (パンを切ること),区切り (仕事の節目),仕事の段取り,窯から出したばかりの火傷しそうなほど熱いパンとかけて、仕事の段取りと解く。その心は「どちらも『切り』が大切でしょう。」,
,多義語型,窯から出したばかりの火傷しそうなほど熱いパン,パンの物理的な形状,かたち,形 (パンの形状),型 (規範、モデル),人生のロールモデル,窯から出したばかりの火傷しそうなほど熱いパンとかけて、人生のロールモデルと解く。その心は「どちらも『かたち』が重要でしょう。」,
,フレーズ・慣用句型,窯から出したばかりの火傷しそうなほど熱いパン,パンが熱い状態である期間に,あついうちに,熱いうちに (温度が高い間に),熱いうちに (好機を逃さずに、勢いがあるうちに),若いうちの勉強,窯から出したばかりの火傷しそうなほど熱いパンとかけて、若いうちの勉強と解く。その心は「どちらも『熱いうちに』が肝心でしょう。」,
,フレーズ・慣用句型,窯から出したばかりの火傷しそうなほど熱いパン,パンに触れる、食べ始める行為,てをつける,手をつける (パンを触る、食べ始める),手をつける (未着手の作業を始める),未着手の大きなプロジェクト,窯から出したばかりの火傷しそうなほど熱いパンとかけて、未着手の大きなプロジェクトと解く。その心は「どちらも『手をつける』のが難しいでしょう。」,
,フレーズ・慣用句型,窯から出したばかりの火傷しそうなほど熱いパン,焼きたてで新鮮な状態,うまれたて,生まれたて (焼きたて),生まれたて (誕生したばかり),生まれたての赤ちゃん,窯から出したばかりの火傷しそうなほど熱いパンとかけて、生まれたての赤ちゃんと解く。その心は「どちらも『生まれたて』でしょう。」,
,完全な同音異義語型,持ち上げると腰が抜けそうに重い鉄アレイ,物理的に非常に重く、体力が奪われる,らくにならない,楽にならない（肉体的な苦痛が解消されない）,楽にならない（経済的・状況的な改善が見られない）,借金が膨らむばかりの事業,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「借金が膨らむばかりの事業」と解く。その心は「どちらも『楽にならない』でしょう。」,
,完全な同音異義語型,持ち上げると腰が抜けそうに重い鉄アレイ,物理的な重量感、ずっしりとして心に残るほどの負荷,おもい,重い（物理的な重量）,思い（心に残る感情や記憶）,忘れられない失恋の思い出,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「忘れられない失恋の思い出」と解く。その心は「どちらも『重い』でしょう。」,
,完全な同音異義語型,持ち上げると腰が抜けそうに重い鉄アレイ,体に大きな負担がかかり、苦痛を伴う,こたえる,堪える（肉体的な負担が身にこたえる）,答える（質問や問いに返事をする）,先生の質問,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「先生の質問」と解く。その心は「どちらも『こたえる』でしょう。」,
,多義語型,持ち上げると腰が抜けそうに重い鉄アレイ,物理的な重量感、どっしりとした存在感,おもみがある,重みがある（物理的な重量感）,重みがある（言葉や存在に威厳や説得力がある）,ベテラン政治家の演説,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「ベテラン政治家の演説」と解く。その心は「どちらも『重みがある』でしょう。」,
,多義語型,持ち上げると腰が抜けそうに重い鉄アレイ,肉体的な負担が非常に大きく、体に良くない,からだにくる,体にくる（物理的な負担が体に影響する）,体にくる（食べ物や生活習慣などが健康に悪影響を与える）,深夜に食べる脂っこいラーメン,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「深夜に食べる脂っこいラーメン」と解く。その心は「どちらも『体にくる』でしょう。」,
,多義語型,持ち上げると腰が抜けそうに重い鉄アレイ,その場にどっしりと置かれて動かせない、威圧感,ちんざしている,鎮座している（物理的に動かずに置かれている）,鎮座している（神仏や貴人が威厳をもって座っている、または設置されている）,偉いお坊さんが座る本堂の仏像,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「偉いお坊さんが座る本堂の仏像」と解く。その心は「どちらも『鎮座している』でしょう。」,
,フレーズ・慣用句型,持ち上げると腰が抜けそうに重い鉄アレイ,持ち上げるのに大きな物理的な労力を要する,ちからがはいる,力が入る（持ち上げるために力を込める）,力が入る（気合が入る、熱中する、興奮する）,大事な試合に臨むアスリート,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「大事な試合に臨むアスリート」と解く。その心は「どちらも『力が入る』でしょう。」,
,フレーズ・慣用句型,持ち上げると腰が抜けそうに重い鉄アレイ,非常に重く、負担となる物理的な存在,おもにになっている,重荷になっている（物理的に重い荷物）,重荷になっている（精神的・経済的な負担）,なかなか結婚しない一人暮らしの息子,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「なかなか結婚しない一人暮らしの息子」と解く。その心は「どちらも『重荷になっている』でしょう。」,
,フレーズ・慣用句型,持ち上げると腰が抜けそうに重い鉄アレイ,重すぎて腰が立たなくなる、体がぐらつく,こしをぬかす,腰を抜かす（物理的な重さで腰が立たなくなる状態）,腰を抜かす（驚きや恐怖で気力を失い、へなへなと座り込む）,幽霊と鉢合わせした人,「持ち上げると腰が抜けそうに重い鉄アレイ」とかけて、「幽霊と鉢合わせした人」と解く。その心は「どちらも『腰を抜かす』でしょう。」,
,完全な同音異義語型,すれ違うと鼻を突く強烈な匂いの香水,匂いが強く、後まで空間に『残る』,のこる,残る（匂いが残る）,残る（売れ残る）,バーゲンセールでの商品,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「バーゲンセールでの商品」と解く。その心は『どちらも『残る』でしょう。』,
,完全な同音異義語型,すれ違うと鼻を突く強烈な匂いの香水,匂いが周囲に『広がる』,ひろがる,広がる（匂いが広がる）,広がる（視野が広がる）,海外旅行で新しい体験をする人,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「海外旅行で新しい体験をする人」と解く。その心は『どちらも『広がる』でしょう。』,
,完全な同音異義語型,すれ違うと鼻を突く強烈な匂いの香水,鼻を『突く』,つく,突く（鼻を突く）,付く（泥が付く）,泥だらけで遊んだ子供,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「泥だらけで遊んだ子供」と解く。その心は『どちらも『つく』でしょう。』,
,多義語型,すれ違うと鼻を突く強烈な匂いの香水,匂いが『きつい』,きつい,きつい（匂いがきつい）,きつい（仕事がきつい）,重労働で働く人,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「重労働で働く人」と解く。その心は『どちらも『きつい』でしょう。』,
,多義語型,すれ違うと鼻を突く強烈な匂いの香水,匂いが『強い』,つよい,強い（匂いが強い）,強い（心が強い）,どんな困難にも立ち向かう人,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「どんな困難にも立ち向かう人」と解く。その心は『どちらも『強い』でしょう。』,
,多義語型,すれ違うと鼻を突く強烈な匂いの香水,鼻を『突く』,つく,突く（鼻を突く）,突く（核心を突く）,鋭い質問をする記者,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「鋭い質問をする記者」と解く。その心は『どちらも『突く』でしょう。』,
,フレーズ・慣用句型,すれ違うと鼻を突く強烈な匂いの香水,匂いが強すぎて周囲から『敬遠される』,けいえんされる,敬遠される（匂いが強すぎて敬遠される）,敬遠される（人付き合いが苦手で敬遠される）,人付き合いが苦手な人,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「人付き合いが苦手な人」と解く。その心は『どちらも『敬遠される』でしょう。』,
,フレーズ・慣用句型,すれ違うと鼻を突く強烈な匂いの香水,匂いが『周りに広がる』,まわりにひろがる,周りに広がる（匂いが周りに広がる）,周りに広がる（噂が周りに広がる）,秘密の暴露話,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「秘密の暴露話」と解く。その心は『どちらも『周りに広がる』でしょう。』,
,フレーズ・慣用句型,すれ違うと鼻を突く強烈な匂いの香水,匂いが強すぎて『人を選ぶ』,ひとをえらぶ,人を選ぶ（匂いが強すぎて人を選ぶ）,人を選ぶ（親友を選ぶ）,本当に信頼できる友達を探す人,「すれ違うと鼻を突く強烈な匂いの香水」とかけて、「本当に信頼できる友達を探す人」と解く。その心は『どちらも『人を選ぶ』でしょう。』,
,完全な同音異義語型,うっかり触ると血が出て痛いトゲつきの鉄線,触れると「痛み」がある,いたみ,痛み,板見,大工の棟梁,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「大工の棟梁」と解く。その心は『どちらも「板見」でしょう。』,
,完全な同音異義語型,うっかり触ると血が出て痛いトゲつきの鉄線,境界として「張る」,はる,張る,貼る,ポスターを貼る人,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「ポスターを貼る人」と解く。その心は『どちらも「張る」でしょう。』,
,完全な同音異義語型,うっかり触ると血が出て痛いトゲつきの鉄線,触ると「血」が出る,ち,血,知,知識豊富な学者,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「知識豊富な学者」と解く。その心は『どちらも「知」でしょう。』,
,多義語型,うっかり触ると血が出て痛いトゲつきの鉄線,トゲが「刺さる」,ささる,刺さる,刺さる,胸に響く歌,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「胸に響く歌」と解く。その心は『どちらも「刺さる」でしょう。』,
,多義語型,うっかり触ると血が出て痛いトゲつきの鉄線,侵入者を「防ぐ」,ふせぐ,防ぐ,防ぐ,災害対策本部,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「災害対策本部」と解く。その心は『どちらも「防ぐ」でしょう。』,
,多義語型,うっかり触ると血が出て痛いトゲつきの鉄線,「立ち入りを禁じる」機能がある,たちいりきんし,立ち入り禁止,立ち入り禁止,企業の機密情報,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「企業の機密情報」と解く。その心は『どちらも「立ち入り禁止」でしょう。』,
,フレーズ・慣用句型,うっかり触ると血が出て痛いトゲつきの鉄線,「不用意に触ると危ない」,てをださないほうがいい,手を出さない方がいい,手を出さない方がいい,人の揉め事,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「人の揉め事」と解く。その心は『どちらも「手を出さない方がいい」でしょう。』,
,フレーズ・慣用句型,うっかり触ると血が出て痛いトゲつきの鉄線,常に「警戒」を要する,けいかいする,警戒する,警戒する,夜間警備員,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「夜間警備員」と解く。その心は『どちらも「警戒する」でしょう。』,
,フレーズ・慣用句型,うっかり触ると血が出て痛いトゲつきの鉄線,「近寄るな」というサインである,ちかよるな,近寄るな,近寄るな,機嫌の悪い上司,「うっかり触ると血が出て痛いトゲつきの鉄線」とかけて、「機嫌の悪い上司」と解く。その心は『どちらも「近寄るな」でしょう。』,
,完全な同音異義語型,夏の夜に喉を潤すキンキンに冷えたビール,飲むと非常に美味しいと感じる。,うまい,旨い（美味しい、味が良い）,上手い（技術や能力が高い）,熟練したベテランの職人,夏の夜に喉を潤すキンキンに冷えたビールとかけて、熟練したベテランの職人と解く。その心は「どちらも『うまい（旨い/上手い）』でしょう。」,
,完全な同音異義語型,夏の夜に喉を潤すキンキンに冷えたビール,グラスに注ぐと白い泡が勢いよく立つ。,あわ,泡（液体表面にできる気泡）,粟（穀物の一種）,昔ながらの方法で穀物を育てる農家,夏の夜に喉を潤すキンキンに冷えたビールとかけて、昔ながらの方法で穀物を育てる農家と解く。その心は「どちらも『あわ（泡/粟）』が大事でしょう。」,
,完全な同音異義語型,夏の夜に喉を潤すキンキンに冷えたビール,温度が非常に低く、体を冷やす。,ひえる,冷える（温度が低くなる）,肥える（土地が豊かになる）,豊作をもたらす豊かな土地,夏の夜に喉を潤すキンキンに冷えたビールとかけて、豊作をもたらす豊かな土地と解く。その心は「どちらも『ひえる（冷える/肥える）』でしょう。」,
,多義語型,夏の夜に喉を潤すキンキンに冷えたビール,喉の渇きを解消する。,かわきをいやす,渇きを癒す（物理的な喉の渇きを解消する）,渇きを癒す（比喩的に、心の欲求や苦痛を満たす）,悩み事をじっくり聞くカウンセラー,夏の夜に喉を潤すキンキンに冷えたビールとかけて、悩み事をじっくり聞くカウンセラーと解く。その心は「どちらも『渇きを癒す』でしょう。」,
,多義語型,夏の夜に喉を潤すキンキンに冷えたビール,味が濃厚で奥深い。,こくがある,コクがある（味に深みがある）,コクがある（内容に深みや味わいがある）,人生経験豊富な小説家,夏の夜に喉を潤すキンキンに冷えたビールとかけて、人生経験豊富な小説家と解く。その心は「どちらも『コクがある』でしょう。」,
,多義語型,夏の夜に喉を潤すキンキンに冷えたビール,飲む際の舌触りや喉越しが良い。,くちあたり,口当たり（飲食物が口に入った時の感触）,口当たり（人への応対や言葉遣い）,お客様と丁寧に応対する接客業のプロ,夏の夜に喉を潤すキンキンに冷えたビールとかけて、お客様と丁寧に応対する接客業のプロと解く。その心は「どちらも『口当たり』が大切でしょう。」,
,フレーズ・慣用句型,夏の夜に喉を潤すキンキンに冷えたビール,飲んだ瞬間に、身体の疲労感がなくなる。,つかれがふきとぶ,疲れが吹き飛ぶ（肉体的な疲労が解消される）,疲れが吹き飛ぶ（精神的なストレスや心配事が解消される）,大きな仕事が成功した起業家,夏の夜に喉を潤すキンキンに冷えたビールとかけて、大きな仕事が成功した起業家と解く。その心は「どちらも『疲れが吹き飛ぶ』でしょう。」,
,フレーズ・慣用句型,夏の夜に喉を潤すキンキンに冷えたビール,勢いよく飲むと、ゴクゴクと音がする。,のどをならす,喉を鳴らす（食べ物や飲み物を勢いよく飲む音）,喉を鳴らす（気持ちを表現するために歌う、またはあるものを欲しがる様子）,観客を魅了する歌手,夏の夜に喉を潤すキンキンに冷えたビールとかけて、観客を魅了する歌手と解く。その心は「どちらも『喉を鳴らす』でしょう。」,
,フレーズ・慣用句型,夏の夜に喉を潤すキンキンに冷えたビール,炭酸が弾ける音や、飲んだ時の爽快感。,しゅわっと,シュワッと（炭酸の泡が弾ける音や感覚）,シュワッと（問題や困難が気持ちよく解決する様子）,難題を見事に解決したコンサルタント,夏の夜に喉を潤すキンキンに冷えたビールとかけて、難題を見事に解決したコンサルタントと解く。その心は「どちらも『シュワッと』するでしょう。」,
,完全な同音異義語型,直視すると目がチカチカして痛む強い照明,目に直接的な危険を知らせる、注意を促す光,けいこく,警告（光が危険を警告する）,稽古（習い事の練習）,習い事を始めたばかりの子供,『直視すると目がチカチカして痛む強い照明』とかけて、『習い事を始めたばかりの子供』と解く。その心は『どちらも【けいこ(警告/稽古)】が大切でしょう。』,
,完全な同音異義語型,直視すると目がチカチカして痛む強い照明,光によって一時的に視界を奪う、騙すような効果がある,めくらまし,目眩まし（光で視界を奪う）,目眩まし（相手を欺く策略）,詐欺師や手品師,『直視すると目がチカチカして痛む強い照明』とかけて、『詐欺師や手品師』と解く。その心は『どちらも【目眩まし】をします。』,
,完全な同音異義語型,直視すると目がチカチカして痛む強い照明,強い光が輝き、周囲の注目を集める,きらめき,煌めき（強い光の輝き）,煌めき（才能や魅力の輝き）,人気絶頂のアイドル,『直視すると目がチカチカして痛む強い照明』とかけて、『人気絶頂のアイドル』と解く。その心は『どちらも【煌めき】が素晴らしいでしょう。』,
,多義語型,直視すると目がチカチカして痛む強い照明,光が空間に充満し、周囲を明るくする,みちる,満ちる（光が空間に満ちる）,満ちる（才能や自信が満ちる）,才能と自信に満ち溢れた若手経営者,『直視すると目がチカチカして痛む強い照明』とかけて、『才能と自信に満ち溢れた若手経営者』と解く。その心は『どちらも【満ちる】ものがあります。』,
,多義語型,直視すると目がチカチカして痛む強い照明,目にダメージを与える可能性があり、避けるべき性質,きけん,危険（目に対する危害）,危険（命や事業に対するリスク）,無謀な挑戦を続ける登山家,『直視すると目がチカチカして痛む強い照明』とかけて、『無謀な挑戦を続ける登山家』と解く。その心は『どちらも【危険】が伴います。』,
,多義語型,直視すると目がチカチカして痛む強い照明,光で視界が遮られ、物が見えなくなる,くらます,眩ます（光で目をくらませる）,晦ます（姿や行方を隠す）,事件を起こして逃亡中の犯人,『直視すると目がチカチカして痛む強い照明』とかけて、『事件を起こして逃亡中の犯人』と解く。その心は『どちらも【くらます】ものがあります。』,
,フレーズ・慣用句型,直視すると目がチカチカして痛む強い照明,強い光が網膜に像として残り、脳裏に焼き付くような感覚,やきつく,焼き付く（目に光の残像が焼き付く）,焼き付く（記憶や心に深く刻み込まれる）,決して忘れることのできない感動的な出来事,『直視すると目がチカチカして痛む強い照明』とかけて、『決して忘れることのできない感動的な出来事』と解く。その心は『どちらも【焼き付く】でしょう。』,
,フレーズ・慣用句型,直視すると目がチカチカして痛む強い照明,強い光により、一時的に視界がぼやけたり、見えにくくなる,めがかすむ,目が霞む（強い光で視界がぼやける）,目が霞む（老眼などで視力が低下する）,老眼鏡をかけ忘れた年配の読書家,『直視すると目がチカチカして痛む強い照明』とかけて、『老眼鏡をかけ忘れた年配の読書家』と解く。その心は『どちらも【目が霞む】でしょう。』,
,フレーズ・慣用句型,直視すると目がチカチカして痛む強い照明,強すぎる光によって、周囲の景色が真っ白に見えなくなる,まっしろになる,真っ白になる（視界が光で真っ白になる）,真っ白になる（驚きや困惑で頭の中が空白になる）,予期せぬトラブルに見舞われた新入社員,『直視すると目がチカチカして痛む強い照明』とかけて、『予期せぬトラブルに見舞われた新入社員』と解く。その心は『どちらも【真っ白になる】でしょう。』,
,完全な同音異義語型,焦げ臭い匂いを立ててオーバーヒートするエンジン,熱で焼き付く、焦げる状態,やける,焼ける（エンジンが熱で焼ける）,焼ける（日焼けする）,夏の砂浜で長時間過ごした海水浴客,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『夏の砂浜で長時間過ごした海水浴客』と解く。その心は「どちらも『焼ける』でしょう。」,
,完全な同音異義語型,焦げ臭い匂いを立ててオーバーヒートするエンジン,焦げた臭いが立ち込める状態,けむり,煙（エンジンの故障で出る煙）,けむり（霧や霞）,早朝の山里に漂う白いベール,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『早朝の山里に漂う白いベール』と解く。その心は「どちらも『けむり』でしょう。」,
,完全な同音異義語型,焦げ臭い匂いを立ててオーバーヒートするエンジン,性能や耐久性の限界に達する状態,げんかい,限界（エンジンの耐久性の限界）,厳戒（厳戒態勢の厳戒）,サミット開催中の警備体制,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『サミット開催中の警備体制』と解く。その心は「どちらも『げんかい』でしょう。」,
,多義語型,焦げ臭い匂いを立ててオーバーヒートするエンジン,動作を停止する、動かなくなる,とまる,止まる（エンジンが動作を止める）,止まる（宿に泊まる）,旅の途中で宿を探す旅行者,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『旅の途中で宿を探す旅行者』と解く。その心は「どちらも『止まる』でしょう。」,
,多義語型,焦げ臭い匂いを立ててオーバーヒートするエンジン,熱が機械内部に留まる、高温になる,こもる,籠もる（熱が機械内部に籠もる）,籠もる（部屋に引きこもる）,漫画の執筆に没頭するクリエイター,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『漫画の執筆に没頭するクリエイター』と解く。その心は「どちらも『籠もる』でしょう。」,
,多義語型,焦げ臭い匂いを立ててオーバーヒートするエンジン,機能を失い動かない状態,うごかない,動かない（エンジンが故障で動かない）,動かない（意見や信念が揺るがない）,頑固な職人の信念,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『頑固な職人の信念』と解く。その心は「どちらも『動かない』でしょう。」,
,フレーズ・慣用句型,焦げ臭い匂いを立ててオーバーヒートするエンジン,熱しすぎて煙が出ること,けむりをはく,煙を吐く（エンジンから煙が出る）,煙を吐く（たばこの煙を吐く、比喩的に不満を表す）,満員電車でイライラしている通勤客,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『満員電車でイライラしている通勤客』と解く。その心は「どちらも『煙を吐く』でしょう。」,
,フレーズ・慣用句型,焦げ臭い匂いを立ててオーバーヒートするエンジン,高温になり熱気を帯びる様子,ねっきをおびる,熱気を帯びる（エンジンが高温で熱気を帯びる）,熱気を帯びる（議論や応援が白熱する）,スポーツ観戦で白熱する観客席,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『スポーツ観戦で白熱する観客席』と解く。その心は「どちらも『熱気を帯びる』でしょう。」,
,フレーズ・慣用句型,焦げ臭い匂いを立ててオーバーヒートするエンジン,異常な状態になり、限界で音を上げること,ひめいあげる,悲鳴を上げる（比喩的にエンジンが限界で悲鳴を上げる）,悲鳴を上げる（恐怖や苦痛で声を上げる）,お化け屋敷で驚いた人,『焦げ臭い匂いを立ててオーバーヒートするエンジン』とかけて、『お化け屋敷で驚いた人』と解く。その心は「どちらも『悲鳴を上げる』でしょう。」,
,完全な同音異義語型,素手で触ると凍りついて皮膚が痛むドライアイス,触れると身体に痛みが走る,いたみ,痛み（身体的な苦痛）,悼み（故人をしのぶ気持ち）,故人を偲ぶ遺族,素手で触ると凍りついて皮膚が痛むドライアイスとかけて、故人を偲ぶ遺族と解く。その心は「どちらも『いたみ』でしょう。」,
,完全な同音異義語型,素手で触ると凍りついて皮膚が痛むドライアイス,触れると皮膚が凍りつき、固まってしまう,かたまる,固まる（固体になる、硬くなる）,固まる（緊張や恐怖で動けなくなる）,大勢の前に出て緊張する人,素手で触ると凍りついて皮膚が痛むドライアイスとかけて、大勢の前に出て緊張する人と解く。その心は「どちらも『かたまる』でしょう。」,
,完全な同音異義語型,素手で触ると凍りついて皮膚が痛むドライアイス,低温により皮膚が凍傷になる,とうしょう,凍傷（寒さによる怪我）,投書（意見を文書で提出すること）,読者から意見を募る新聞社,素手で触ると凍りついて皮膚が痛むドライアイスとかけて、読者から意見を募る新聞社と解く。その心は「どちらも『とうしょう』でしょう。」,
,多義語型,素手で触ると凍りついて皮膚が痛むドライアイス,非常に冷たい温度である,つめたい,冷たい（温度が低い）,冷たい（態度がそっけない、思いやりがない）,人に無関心な態度をとる人,素手で触ると凍りついて皮膚が痛むドライアイスとかけて、人に無関心な態度をとる人と解く。その心は「どちらも『つめたい』でしょう。」,
,多義語型,素手で触ると凍りついて皮膚が痛むドライアイス,触ると低温やけど（傷）を負う,やけど,やけど（低温熱傷などの物理的な傷）,やけど（失敗や痛い目に遭うこと）,同じ過ちを繰り返す人,素手で触ると凍りついて皮膚が痛むドライアイスとかけて、同じ過ちを繰り返す人と解く。その心は「どちらも『やけど』でしょう。」,
,多義語型,素手で触ると凍りついて皮膚が痛むドライアイス,触れると皮膚が凍えて感覚が麻痺するような状態になる,しびれる,痺れる（感覚が麻痺する）,痺れる（感動で体が動かなくなる）,素晴らしい演奏に感動した観客,素手で触ると凍りついて皮膚が痛むドライアイスとかけて、素晴らしい演奏に感動した観客と解く。その心は「どちらも『しびれる』でしょう。」,
