chapter_id,category,chapter_title,section_title,experiment,relationship,evidence_title,evidence_date,evidence_researcher
1.1,第1部：脳と認知のメカニズム（思考とひらめき）,第1章：脳科学・中枢神経系へのアプローチ,熟練者と初心者の脳活動比較,ある分野のプロ（将棋棋士やゲームの熟練者など）とアマチュアが同じ課題に取り組む時の脳活動を比較しました。初心者は脳全体を無駄にフル回転させて必死に考えていましたが、プロは直感的なパターン認識を司る部位だけがピンポイントで働き、脳のエネルギー消費が極めて少ない（神経回路が最適化されている）ことが分かりました。,プロの落語家など「なぞかけの名手」は、お題を出された瞬間に「連想語の展開」や「同音異義語の検索」を自動的に行う専用の脳内バイパス（神経回路）が出来上がっています。そのため、素人が脳全体を唸らせて汗をかくような難しいお題でも、非常に少ない脳のエネルギーで、涼しい顔をして瞬時に「整いました」と返すことができるのです。,神経効率仮説（Neural Efficiency Hypothesis）の提唱および、熟練者と初心者の脳回路の比較研究,1992年（初期のPET研究）〜2011年（理化学研究所による将棋プロの直感研究など）,リチャード・ハイヤー（カリフォルニア大学アーバイン校）、田中啓治・万小紅（理化学研究所）ら
2.1,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,DRD4（ドーパミン受容体遺伝子）多型となぞかけの快感度の違い,人のDNAを採取して「ドーパミン（快楽物質）を受け取るアンテナの形（DRD4遺伝子の型）」を調べ、その人たちが「新しいこと」や「ユーモア」に対してどれくらい強い快感や興奮を覚えるかを、アンケートや脳波で比較する実験です。人の遺伝子には個人差（多型）があります。特定の遺伝子型を持つ人は、脳が「新しい情報」や「驚き」を受け取った時、他の人よりもドーパミンによる快感を強く、ダイナミックに感じ取れることがわかりました。,秀逸ななぞかけのオチを聞いた時、「うおお、天才だ！」と大興奮する人と、「ふーん、なるほどね」と冷静な人がいます。これは単に「笑いのツボ」の違いというだけでなく、脳のドーパミンアンテナの形（遺伝子）の違いが影響しています。すべてが決まっているわけではありませんが、なぞかけによる「ひらめきの快感」を受け取りやすい素質には、遺伝子レベルで個人差があるのは事実なのです。,新奇性追求（Novelty Seeking）とDRD4遺伝子多型の関連研究,1996年〜現在,リチャード・エブスタイン（Richard Ebstein）らの行動遺伝学研究グループ
2.2,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,ユーモア理解に関わるCOMT遺伝子多型とひらめき時間の相関,脳の前頭葉（思考を司る部分）にあるドーパミンを分解・掃除する酵素「COMT」の遺伝子型を調べます。参加者に「ひらめき」が必要な言葉のパズルを解かせ、正解にたどり着くまでのスピードや集中力を比較する実験です。「掃除が遅い型」の人は、前頭葉にドーパミンが長く留まるため、集中力や記憶力を高く保つことができ、複雑なパズルやひらめき問題を素早く解ける傾向があることがわかりました。,「AとかけてBと解く」のお題を出された時、一瞬で「その心」を見つけ出せる名人は、もしかすると前頭葉のドーパミン濃度を高く保てる「Met型」の遺伝子を持っているかもしれません。彼らの脳内では、複数の言葉のつながりを維持するための潤沢なドーパミンが、絶えず脳をフル回転させているのです。,COMT遺伝子多型（Val158Met）と実行機能・認知柔軟性に関する研究,2000年代中盤〜現在,アデル・ダイアモンド（Adele Diamond）らの認知遺伝学研究グループなど
2.3,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,なぞかけ習慣によるテロメア（細胞老化マーカー）短縮の抑制効果,慢性的なストレスを抱えている人と、日常的にポジティブな思考（ユーモアなど）を持っている人の血液を何年も追跡し、細胞の染色体の端にある「テロメア」の長さを測る実験です。よく笑い、知的探求心を忘れず、ストレスをうまく発散している人は、テロメアを修復する酵素（テロメラーゼ）が活性化し、テロメアが短くなるのを強力に防いでいることがわかりました。,毎日なぞかけを作って脳に新鮮な刺激を与え、秀逸なオチで笑い合う習慣。これは単なる暇つぶしではなく、ストレスホルモンを下げ、細胞レベルの老化を防ぐ、強力なアンチエイジングになる可能性を秘めているのです。「なぞかけ好きは若い」というのは、DNAのレベル（テロメアの長さ）から見ても非常に理にかなっていると言えます。,心理的ストレスと細胞老化（テロメア長とテロメラーゼ活性）に関する研究,2004年〜現在（2009年にノーベル生理学・医学賞を受賞した分野）,エリザベス・ブラックバーン（Elizabeth Blackburn）、エリッサ・エペル（Elissa Epel）らの研究グループ
2.4,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,爆笑による血中エンドルフィン（至福物質）の分泌,人が歌ったり、踊ったり、コメディを見て大笑いしたりする前と後で血液を採取し、血液中に「エンドルフィン（脳内麻薬とも呼ばれる至福物質）」がどれくらい増えているかを測る実験です。ランナーズハイに似た状態をもたらすこの物質は、苦しい運動だけでなく、仲間と心から楽しんで大笑いした時にも血液中にドバッと分泌されることがわかりました。,最高に面白いなぞかけを聞いて、息ができないほどガハハと笑い転げた後。あなたの体内にはエンドルフィンが駆け巡り、マラソンを完走した時と同じような「多幸感（ハイな状態）」をもたらします。優れたなぞかけは、合法かつ副作用のない「至福物質のスイッチ」なのです。,社会的活動（笑い、歌、ダンス）に伴うエンドルフィン（内因性オピオイド）の活性化,2010年代〜現在,ロビン・ダンバー（Robin Dunbar）の笑いの進化研究、および近年の神経化学研究者たち
2.5,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,汗の揮発性有機化合物（VOCs）分析,参加者の脇の下に汗を吸収するパッドを当て、「ホラー映画を見て恐怖を感じた時（ストレス）」と「コメディを見て笑った時（喜び）」の汗を採取します。その成分を比較すると、人間の汗は感情によって成分が変わり、楽しく笑っている時の「喜びの汗（Happy Sweat）」はその匂いを嗅いだ周囲の人間にまで「幸福感」を感染させることがわかりました。,無茶振りされて「全然思いつかない…」と焦っている時、あなたの体からは化学的に「ストレスの汗」が分泌されています。しかし、見事なオチを言って皆で大笑いした瞬間、体から吹き出すのは成分が切り替わった「ハッピーな汗」です。なぞかけが成功した部屋は、文字通り「幸せの化学物質」で満たされるのです。,人間の化学的シグナル伝達：喜びの感情の嗅覚的伝染（A Sniff of Happiness）,2015年,ジャスパー・デ・グルート（Jasper de Groot）、ギュン・ゼミン（Gün Semin）らの研究グループ
2.6,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,BDNF（脳由来神経栄養因子）の遺伝的多型となぞかけ（遠隔連想）能力の関連性,健康な大学生76名を対象に、BDNFの分泌動態に直接的な影響を与える遺伝子多型「BDNF Val66Met多型（rs6265）」の判定と、創造性の指標となるタスク（複合遠隔連想課題）の成績を比較する実験が行われました。結果、中程度の難易度の問題において、BDNF分泌が低下しやすい「Met型」を持つ被験者は、正常な分泌能を持つ「非Met型」の被験者に比べて、正答を導き出すまでに有意に長い時間がかかることが分かりました。,なぞかけの「AとかけてBと解く（その心はC）」という思考は、一見無関係な言葉同士の共通点を見つけ出す「遠隔連想」と意味的推論を伴う高度な認知タスクです。このBDNFの分泌能が遺伝的に正常に保たれている状態は、脳内の意味論的ネットワークが柔軟かつ迅速に駆動しやすい生理学的基盤と関連しており、適度な難易度の連想タスクをスムーズに処理する能力を下支えしている可能性を示唆しています。,Brain-derived neurotrophic factor genetic polymorphism rs6265 and creativity（BDNF遺伝子多型rs6265と創造性）,2023年,"Hertenstein E, Kuhn M, Landmann Nら（ベルン大学精神医学領域など。学術誌『PLOS ONE』にて発表）"
2.7,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,涙液成分の分析：認知的洞察を伴う「笑い泣き」時のタンパク質組成,「笑い泣き」を含む感情による涙の生化学的特性を明らかにする基盤として、「悲しい映画（情動性の涙）」と「タマネギの刺激（反射性の涙）」の2条件で採取した被験者の涙液成分を比較する実験が行われました。分析の結果、情動性の涙は反射性の涙に比べて、総タンパク質濃度が約24%有意に高いことが分かりました。,なぞかけのオチを理解した瞬間の「認知的洞察（アハ体験）」と、それに続く爆笑による「笑い泣き」は、高次な脳の情動処理を伴う「情動性の涙」に分類されます。なぞかけによって流れる涙も、情動的な動揺や感情の高ぶりを反映しており、タンパク質濃度が高い特異な成分プロファイルを持つと考えられます。,Effect of stimulus on the chemical composition of human tears（刺激がヒトの涙の化学組成に与える影響）,1981年,William H. Frey II ら（セントポール・ラムゼイ医療センター精神医学研究部門）
2.8,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,オキシトシン受容体（OXTR）遺伝子多型と自己開示の傾聴を通じた向社会性の伝達,カップルの一方が過去の苦難な経験を自己開示し、もう一方がその話を傾聴するインタラクション・タスクを与え、聞き手の様子を録画しました。事前に聞き手のオキシトシン受容体（OXTR）の遺伝子多型を解析した結果、GG型（向社会性や共感性と関連が深いとされる遺伝子型）を持つ人は、他の遺伝子型の人に比べてアイコンタクトなどの親和的な非言語サインをより多く発しており、第三者からも高い向社会性を評価されることが分かりました。,他者の苦難の自己開示を傾聴することは、相手の感情を推測し、苦痛に共感を示す高度な社会的相互作用です。このコミュニケーション過程において、特定の遺伝子多型（GG型）を持つ人は他者のシグナルに対する感受性が高く、非言語的な行動を通じて自身の共感や信頼感を外部へ効果的に伝えることができ、結果としてラポール（親密な関係性）形成が促進されることが推測されます。,Oxytocin receptor (OXTR) rs53576 polymorphism in prosocial behavior,2011年,Aleksandr Kogan ら（トロント大学、カリフォルニア大学バークレー校など）
2.9,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,なぞかけに伴う笑いが運動後の血管内皮機能と血流回復に及ぼす影響,健常な被験者に「笑いを誘う喜劇映画」と「精神的ストレスを与える映画」を見せ、上腕動脈の血流依存性血管拡張反応（FMD）を超音波検査で比較しました。ストレス映画を見た後は血流が悪化したのに対し、笑いを伴う映画を見た後は血管が有意に拡張し、血流が大きく増加しました。この笑いによる血流促進の効果が、「有酸素運動」を行った際と同等レベルであった点が特筆されます。,現代のスポーツ・健康科学において、血流の促進は重要なリカバリー要素です。なぞかけのような知的ユーモアによって生じる大笑いは、脳内でエンドルフィンの分泌を促し、結果として全身の血流が特異的に亢進します。安静に保ちながらも「有酸素運動と同等の血流改善効果」を生み出し、運動後のリカバリーを効率よく後押しするのです。,The effect of mirthful laughter on the human cardiovascular system（笑いが人間の心血管系に及ぼす影響）,2005年,マイケル・ミラー（Michael Miller）ら / メリーランド大学医学部
2.1,第1部：脳と認知のメカニズム（思考とひらめき）,第2章：遺伝学・分子生物学・生化学的アプローチ,エピジェネティクス：幼児期の言語的遊戯環境が脳内報酬系に及ぼす影響,成人および小児被験者の末梢血や口腔粘膜からDNAを採取し、脳内報酬系・神経可塑性に関わる多遺伝子群のメチル化状態（エピジェネティクス）を解析しました。客観的調査の結果、日常的に大人との双方向の会話や「なぞかけ等」の言葉遊びが豊富な環境で育った群において、ドーパミン受容体や神経可塑性関連遺伝子の感受性を高める方向へのエピジェネティックな修飾傾向および脳ネットワークの発達が認められました。,人間のユーモアや快楽への感受性、および高度な言語能力は単一の遺伝子で決まるものではありません。発達認知神経科学やエピジェネティクス研究において、なぞかけのような「双方向の言葉遊び」による持続的で良質な認知的刺激の方が、脳発達における極めて重要な環境因子として機能することが示されています。これらは報酬系ネットワークや言語野に関わる複数の遺伝子の発現制御に後天的な影響を与え、認知機能と快楽への感受性を同時に育む可能性を持っています。,幼児期の会話のターンテイキング（双方向のやり取り）が脳発達に与える影響、および初期の養育環境がドーパミン受容体（DRD4）やBDNF遺伝子群のDNAメチル化に及ぼす後天的影響に関する一連の研究,2010年代後半〜現在（例: 2018年のRomeoらの研究など）,R. R. Romeoら（マサチューセッツ工科大学 認知科学研究チーム）、およびM. H. van IJzendoornら（ライデン大学等の発達エピジェネティクス研究グループ）
3.1,第1部：脳と認知のメカニズム（思考とひらめき）,第3章：眼球運動・視覚系の生理メカニズム,文字の視覚的複雑さが眼球の停留時間に与える影響,人が文字を読むとき、目は滑らかに動いているわけではなく、「ピタッと止まる（停留）」と「サッとジャンプする（サッケード）」を繰り返しています。認知心理学の基礎研究では、文字の視覚的な複雑さや情報量が、この眼球の停留時間やジャンプの幅を規定することがわかっています。,この視覚的特性の基礎理論を日本語のフォントに応用して推測すると、線の太さが均一な「ゴシック体」はスピーディーに読ませるのに向いており、はね・とめなど視覚的に複雑な「明朝体」は視線が細かく止まりやすくなります。なぞかけの場合、ゴシック体は「テンポよくオチまで一直線に読ませる」のに適し、明朝体は「あえて視線を立ち止まらせ、言葉の裏の意味（掛詞）をじっくり考えさせる」のに適していると推論できます。さらに、明朝体の視覚的特徴がもたらすボトムアップ的な視覚処理の負荷と、掛詞を考えるトップダウン的な意味処理の相互作用（Interactive processing）が起こることで、言葉の深い味わいにつながる可能性があります。,読書時の眼球運動と情報処理に関する研究（Eye movements in reading and information processing）,1998年など（一連のレビュー論文）,キース・レイナー（Keith Rayner）などの認知心理学者
3.2,第1部：脳と認知のメカニズム（思考とひらめき）,第3章：眼球運動・視覚系の生理メカニズム,オチを推測する際の視線の空間的迷走（視線回避）,人が記憶検索や算術課題に取り組む際の目の動きを追跡した実験において、難しい答えをひねり出そうとしている時ほど、人は目の前にある物を見ず、何もない空間（虚空）を見つめて視線をさまよわせる「視線回避（Gaze Aversion）」という現象が確認されました。,このメカニズムをなぞかけに応用すると、「上手いオチを見つけよう！」と脳がフル回転している時、脳にとって「目の前の景色」などの外部からの視覚情報は邪魔になります。なぞかけのオチを探す行為は、単なる記憶の引き出しではなく、作業記憶（ワーキングメモリ）上で2つの異なる意味概念を結合・操作する極めて高度な認知的負荷（Cognitive Load）を伴うプロセスです。視線が宙を泳ぐのは、脳内のネットワークにアクセスするための負荷に対応すべく、あえて外の世界からの視覚的干渉を遮断している証拠だと考えられます。,視線をそらすことで環境から切り離し、記憶を促進する現象（Gaze Aversion）の研究,1998年,アーサー・グレンバーグ（Arthur Glenberg）らの研究グループ
3.3,第1部：脳と認知のメカニズム（思考とひらめき）,第3章：眼球運動・視覚系の生理メカニズム,ひらめき直前の急速な瞳孔散大,人が難しい洞察問題（ひらめきを要する問題）を解いた際の瞳孔（黒目）の大きさを測定した研究では、答えが「わかった！（アハ体験）」となる数ミリ秒前に、急速な瞳孔散大（Pupil Dilation）が起こることが実証されました。これは青斑核-ノルアドレナリン系（LC-NE系）の一過性の活動（Phasic activation）が関与しており、自律神経系の強い覚醒と内的注意のピークを示すサインです。,なぞかけは「言葉のパズル」と「意外なつながりへの直感」の両方を使う高度な脳トレです。ひらめきの瞬間に生じるパッと開くような顕著な瞳孔散大は、謎が解けて意味がバチッと結びついた際の、強い覚醒と神経生理学的な「快感のサイン」であると言えます。,洞察（ひらめき）問題解決時の瞳孔散大と視覚入力の遮断に関する研究、および洞察における右半球の役割の研究,2004年〜2015年頃,マーク・ビーマン（Mark Beeman）、ジョン・クーニオス（John Kounios）、カロラ・サルヴィ（Carola Salvi）らの研究グループ
3.4,第1部：脳と認知のメカニズム（思考とひらめき）,第3章：眼球運動・視覚系の生理メカニズム,周辺視（拡散的注意）の活用と柔軟な発想,遠隔連想タスク（関連性の薄い言葉同士のつながりを見つける課題）を用いた実験において、一つの点に注意を集中させるよりも、空間全体に注意を広げる「拡散的注意（Defocused Attention）」の状態にある時の方が、柔軟な発想ができ、創造的な問題解決に有利に働くことが示されました。,この知見をなぞかけの理解に応用すると、一つの言葉の意味を「これだ！」と決めつけて凝視（集中）してしまうと、別の意味（裏の意味）に気づけなくなります。なぞかけにおいて多義的な意味にアクセスし「ととのう」ためには、視野を広く持ち、言葉をぼんやりと捉えることで意味ネットワーク（Semantic Network）の拡散的活性化（Spreading activation）を促す「認知的余裕（心の余裕）」が重要だということです。,創造的な思考と拡散的注意（Defocused Attention）の関連性についての研究,2003年など,パメラ・アンスバーグ（Pamela Ansburg）らの研究グループ
3.5,第1部：脳と認知のメカニズム（思考とひらめき）,第3章：眼球運動・視覚系の生理メカニズム,発話の区切りにおけるまばたきの同期（引き込み現象）,人がスピーチ映像などを視聴している際の「まばたき」のタイミングを測定した実験において、話し手の発話の区切り（ブレイクポイント）や絶妙な間（ま）において、聞き手のまばたきがピタリと一致する（同期する）現象（Eyeblink entrainment）が確認されました。,この実証研究を踏まえると、なぞかけの披露は単なる言葉遊びではなく、演者と観客の認知リソースを同調させるコミュニケーションであると推論できます。「整いました！」という定型句やオチの直前の間が、情報処理の区切りとなるイベント境界（Event Boundary）として機能し、観客の脳内における情報のチャンキングと注意のリセットを促す強力なスイッチとなることで、会場全体の一体感（脳の引き込み現象）を生み出していると考えられます。,発話の区切りにおける聞き手のまばたきの同期（引き込み）現象の研究（Eyeblink entrainment）,2010年,中野珠実（大阪大学／情報通信研究機構）らの研究グループ
3.6,第1部：脳と認知のメカニズム（思考とひらめき）,第3章：眼球運動・視覚系の生理メカニズム,色覚刺激（背景色）がなぞかけ理解の脳波（N400成分）に与える影響,人が「意味の通らないおかしな文章」を読んだ時、脳は「あれ？」というエラー信号（N400という脳波）を出します。色と認知機能の関係を調べた研究によると、人は「赤（暖色）」を見ると警戒して論理的・分析的になり、「青（寒色）」を見るとリラックスして創造的になることがわかっています。,なぞかけのオチは、一見すると「意味が通らない言葉のジャンプ」です。これらの知見を統合すると、赤い背景でなぞかけを読んだ場合、脳が論理モードになっているため、突飛なオチに対する意味の逸脱を強く検知し、脳波（N400）の振幅が増大する（強く反応する）と予測されます。逆に青い背景だと、脳が「そういう見方もあるね」と柔軟な構え（Mental set）になっているため、意外なオチもスムーズに受け入れやすくなる可能性が示唆されます。,色が認知課題のパフォーマンスに与える影響（Color and psychological functioning）／意味的逸脱に対する脳波（N400）の基礎研究,2007年頃（色の研究）／ 1980年（N400の研究）,アンドリュー・エリオット（Andrew Elliot）らのグループ ／ マルタ・クタス（Marta Kutas）ら
3.7,第1部：脳と認知のメカニズム（思考とひらめき）,第3章：眼球運動・視覚系の生理メカニズム,読字障害（ディスレクシア）傾向者におけるなぞかけ処理の特異な認知的負荷,文字をスムーズに読むのが苦手な読字障害（ディスレクシア）の人の脳の働きをMEG（脳磁図）などで調べた研究です。文字を読む際、彼らは脳の「視覚のエリア（左半球後部）」の活動が低く、代わりに「前頭葉」や「右半球」の活動を増大させることで、非効率な文字処理を代償的に補っていることがわかっています。ディスレクシアの支配的な病態メカニズムは、文字を音に変換したり、頭の中で音韻を操作したりすることが困難になる「音韻機能障害仮説」として広く支持されています。,なぞかけの命である「掛詞（同音異義語）」は、まさに頭の中で言葉の音韻を分解・抽出・操作する高度な言語遊びです。そのため、ディスレクシアの人がなぞかけのテキストを処理する際は、文字を音に変換するデコーディングの困難さに加え、音韻操作そのものへの過大な負荷がかかります。結果として、彼らはなぞかけの理解において健常者とは異なる特異な「認知的ボトルネック」に直面すると推測され、前頭葉の過活動は、この重い負荷を必死に補おうとする脳の働きとして説明できます。,ディスレクシアにおける音韻処理と視覚的文字認識の脳内補償ネットワークのMEG・fMRI研究,1996年、2000年代初頭など,リッタ・サルメリン（Riitta Salmelin）、サリー・シェイウィッツ（Sally Shaywitz）らの研究グループ
