象限,対象国,類型,事象・噂の名称,実践内容・信じられている内容,社会的機能,心理的効果,[事実確認]学術的背景・反証,事例1：状況,事例1：表現,事例1：分析,事例2：状況,事例2：表現,事例2：分析,事例3：状況,事例3：表現,事例3：分析
第3象限（論争と闘争）,韓国,【事実】,ジェンダー対立に伴う過激なレッテル貼りと蔑称,「ハンナム（韓国男）」「キムチ女」「マムチュン（ママ虫）」など、性別や属性を極端に貶めるネットスラング。,深刻な就職難や社会不安を背景に、異性を「自分の不遇の原因（敵）」とみなし、社会を真っ二つに分断する。,相手をステレオタイプな悪に仕立て上げることで、自身の攻撃を正当化し、同性間の結束を強める。,[背景]2010年代のオンラインコミュニティの対立以降、男女間の憎悪表現が日常語にまで浸透。深刻な社会問題となっている。,過激なフェミニストが男性を非難する時,「これだからハンナム（??）は」と一蹴する。,家父長制的で暴力的な男性というステレオタイプを「韓国の男すべて」に拡張し、個人の尊厳を剥奪する。,男性が、奢られて当然という態度の女性を攻撃する時,「あいつはキムチ女（???）だ」とレッテルを貼る。,見栄っ張りで物質主義的な女性という架空のモンスター像を作り上げ、女性全体への嫌悪を正当化する。,公共の場で子供が騒いでいるのを見た時,その母親に対して「マムチュン（??：ママ虫）」と吐き捨てる。,育児の苦労を無視し、他者に配慮がない一部の母親を「虫」扱いにすることで、社会的なキャンセルを行う。
第4象限（対立の遊戯的昇華）,韓国,【事実】,格差社会への自虐的ネーミング（ヘルチョソン・スプーン階級論）,「ヘルチョソン（地獄の朝鮮）」「土のスプーン（フクスジョ）」「Nポ世代」など、絶望的な現実を自嘲する造語。,変えられない残酷な資本主義の現実を、キャッチーな絶望語彙に変換することで、集団的ウツを回避する。,「努力しても無駄である」という諦念を共有することで、過剰な競争プレッシャーから一時的に自己を解放する。,[背景]過酷な受験・就職戦争、不動産価格の高騰など、若年層の経済的絶望が背景にある。絶望を言語化することでしか連帯できない現代韓国の病理の反映。,親の財力がなく、就職や結婚がうまくいかないと嘆く時,「どうせ俺は土のスプーン（???）だから」,英語の「銀のスプーンをくわえて生まれる」を文字り、親の資産で人生が決まる階級社会を自虐的に笑い飛ばす。,労働環境の悪さや社会の不条理に直面した時,「ようこそ、ヘルチョソン（???）へ」,現代の最先端の韓国社会を、身分制度が固定化されていた「朝鮮時代」に逆戻りした「地獄」と呼ぶ強烈な皮肉。,将来の夢やライフプランについて語る時,「私は恋愛も結婚も出産も諦めた『Nポ世代（N???）』だ」,3つ、5つと諦めるものが増え続け、ついには数学の「N（無限）」を使って絶望をギャグに昇華している。
第1象限（秩序と伝達）,北朝鮮,【事実】,最高指導者への義務的修飾語と視覚的絶対敬語,「敬愛する最高指導者 金正恩同志」などの長大な修飾語の使用義務と、活字における名前の強調（太字化）。,国家の全人民に対して、指導者が神格化された絶対的な存在であることを言語・視覚の両面から強制する。,日常的に最高敬語を復唱させられることで、無意識のうちに体制への服従と畏怖の念を植え付けられる。,[背景]「党の唯一思想体系確立の十大原則」に基づく厳格な社会統制。指導者の名前や呼称を間違えることは、単なるミスではなく政治犯としての粛清対象となる。,ニュースキャスターが指導者の動静を報じる時,必ず「敬愛する最高指導者 金正恩同志（???? ????? ?????）」とフルセットの修飾語を付ける。,いかなる時も敬称を省略させないことで、指導者が一般の人間とは異なる絶対的上位者であることを脳に刻み込む。,新聞や書籍で指導者の名前を表記する時,他の活字よりも大きく、太いフォント（?? ??）で印刷する。,視覚的な言語ルールを操作することで、ページを開いた瞬間に誰が支配者であるかを物理的に認識させる。,指導者が工場や農場を視察した際の行動を表現する時,「現地指導（????）を行われた」と表現する。,単なる視察や見学ではなく、「神のごとき知恵を愚民に授けに来た」という宗教的なニュアンスを持たせている。
第2象限（共感と審美）,北朝鮮,【事実】,純血主義を体現する「文化語（ムヌァゴ）」政策,外来語や漢字語を排斥し、固有語（純粋な朝鮮語）の組み合わせで作られた言葉を「文化語」として使用する。,「南（韓国）はアメリカ帝国主義に汚染されているが、北は純潔である」という体制の優位性を証明する。,純粋な民族語を使っているという誇り（主体思想）を刺激し、外部世界からの文化的孤立を正当化する。,[背景]平壌の言葉を基準とした「文化語」の制定。言語の純化は、そのまま民族の純血とイデオロギーの純潔に直結する国家戦略である。,アイスクリームを注文する時,「オルムボスンイ（?????：氷のふさふさしたもの）」と呼ぶ。,英語由来の外来語を徹底的に排除し、無理やりでも自国の固有語で表現することで民族的プライドを保つ。,電球や照明器具について話す時,「チョングアル（???：電球の卵/粒）」と表現する。,漢字語の濫用を避け、生活に根ざした直感的な固有語を使うことで、労働者階級のための言語であることをアピールする。,ドーナツなどのリング状の食べ物を指す時,「カラクチパン（????：指輪パン）」と呼ぶ。,西側の食文化であっても、名前を土着化させることで「資本主義の毒」を抜いて消費する。
第3象限（論争と闘争）,北朝鮮,【事実】,敵対国・裏切り者への劇画的・動物的な侮蔑語,韓国政府を「傀儡」、アメリカを「ヤマイヌ」、脱北者を「人間のクズ」と呼び、極端に汚い言葉で罵倒する。,敵対勢力を「人間扱いしない」ことで、国民の敵愾心を煽り、いかなる残虐な攻撃も正当化する。,外部に絶対的な「悪」を設定することで、内部の不満を外に逸らし、恐怖による結束を維持する。,[背景]プロパガンダ機関が公式発表で使用する国家認定の罵倒語彙。国家レベルでヘイトスピーチを行うことで、永続的な戦時状態の緊張感を演出している。,韓国政府や大統領を非難する公式声明を出す時,「米帝の操り人形である『傀儡（??）徒党』」と呼ぶ。,韓国を独立国家として認めず、アメリカの言いなりになっている偽物の政府であるという歴史認識を強調する。,アメリカの軍事行動や制裁に対して反発する時,「米帝の『ヤマイヌ（???）』ども」と動物に喩える。,貪欲で残酷な獣というイメージを定着させ、アメリカに対する一切の共感や妥協の余地を断ち切る。,脱北者や体制批判者が海外で活動しているのを見た時,「あいつらは『人間のクズ（?????）』だ」と断じる。,裏切り者を人間社会の廃棄物と定義することで、彼らの主張の信憑性を根底から否定する。
第4象限（対立の遊戯的昇華）,北朝鮮,【事実】,チャンマダン（ヤミ市）における生存のための隠語,警察（保安員）を「ウズラ」、韓国を「下の町」、新興富裕層を「金主」と呼ぶなど、市場での非合法な取引で使われる隠語。,国家の厳しい統制と取り締まりの目をかいくぐり、資本主義的な経済活動（生存）を維持する。,恐怖政治の中で権力者を密かに嘲笑い、生き抜くためのしたたかな連帯感を商人たちの間で共有する。,[背景]1990年代の大飢饉以降、国家の配給網が崩壊して誕生したヤミ市（チャンマダン）で自然発生した。言葉の統制すら及ばない草の根の資本主義の証明。,市場での取引中に、取り締まりの警察官が近づいてきた時,「『メチュラギ（????：ウズラ）』が来たぞ！」と周囲に警告する。,当時の保安員の制服がウズラのような色合いだったことから。権力者を小鳥に喩えて小馬鹿にしつつ危険を知らせる。,韓国製のドラマDVDや日用品を密かに売買する時,「『アレッ町（????：下の町）』のモノはあるか？」と尋ねる。,「韓国」という言葉を出せば政治犯収容所行きになるため、地理的な隠語を使って検閲システムをハックする。,市場で財を成した新興の資本家について噂する時,「あいつは『トンジュ（??：金主）』だから逆らえない」と囁く。,党の幹部ではなく、金（資本）を持つ者が新たな権力者になりつつあるという社会構造の変化を、的確な造語で表現している。
第1象限（秩序と伝達）,モンゴル,【事実】,遊牧民の自然への畏怖に基づく「忌み言葉」と婉曲表現,オオカミを「山の神」、病気や死を「仏になる」と言い換えるなど、不吉なものの本当の名前を口に出さない。,大自然の脅威や霊的な力から家畜と家族を守り、調和を乱さないためのシャーマニズム的な危機管理。,言葉には現実を引き寄せる呪力（言霊）があるという信仰に基づき、恐怖の対象を刺激しないことで安心感を得る。,[背景]過酷な自然環境の中で生きる遊牧民の伝統的な自然観・宗教観に根ざす。「本当の名前を呼ぶとそれが現れる」という人類普遍のタブー（Цээрлэх ёс）の典型例。,放牧中に家畜を襲うオオカミの気配を感じた時,オオカミ（チョノ）とは言わず、「ヘール・ノホイ（野の犬）」や「ハンガイ（山の神）」と呼ぶ。,恐ろしい捕食者の名前を直接呼ぶことで、相手を呼び寄せてしまうという霊的なタブーを回避する。,家族や親しい人が重い病気にかかったり亡くなった時,死ぬことを「ブルハン・ボロフ（бурхан болох：仏になる）」と間接的に表現する。,死や病という直接的な言葉が持つ不吉なエネルギー（呪力）を避けるための、社会的なクッションとしての婉曲表現。,長く雨が降らず、草原が枯れる干ばつに見舞われた時,自然を直接恨む言葉を避け、「テングリ・ムー・バイン（тэнгэр муу байна：天が悪い）」と表現する。,すべてを支配する天の神への畏れと絶対的な服従を示し、人間の傲慢な言葉で自然を怒らせないようにする。
第2象限（共感と審美）,モンゴル,【都市伝説】,日本語とモンゴル語の「同祖説・単語共通説」の民間伝承,「モンゴル語と日本語は同じアルタイ語族であり、単語の響きも似ているから私たちは兄弟だ」という噂。,遠く離れた日本に対して強い親近感を抱き、留学やビジネスにおける交流をスムーズにする外交的潤滑油。,言語的な類似や身体的特徴（蒙古斑）を根拠にすることで、「私たちはルーツが同じだ」というエモーショナルな連帯感を生む。,[反証]かつては「アルタイ語族」として同系統とする学説があったが、現代の歴史言語学では否定されている。単語の類似は偶然に過ぎない。,モンゴル人と日本人が初めて酒を飲んで打ち解ける時,「我々には蒙古斑（х?х толбо）があるから、ルーツは同じ兄弟だ」,科学的な言語系統の事実よりも、目に見える身体的特徴と「語順が同じ」という直感的な共通点が、神話を生み出す。,モンゴル出身の留学生や力士がすぐに日本語をマスターする理由を語る時,「文法が同じで脳の構造が一緒だから、すぐ覚えられるんだ」,実際には本人の猛烈な努力の賜物だが、それを「言語的なDNAが同じだから」というロマンチックな神話に回収する。,モンゴル語と日本語の単語の類似を見つけた時,「モンゴル語の『Ах（アハ：兄）』と日本語の『あに』は同じ語源だね」と語り合う。,学術的には偶然の類似や借用論で説明されるものを、民間語源的に「血の繋がり」の証明として楽しむ。
第3象限（論争と闘争）,モンゴル,【事実】,対中感情を反映した排他的・外国人嫌悪スラング,中国人や中国製の粗悪品に対して「フジャー」、混血の人に対して「エルリーズ」という軽蔑的なスラングを用いる。,経済的・地政学的に圧倒的な力を持つ隣国（中国）に対する警戒感と自己防衛本能を、言葉による排除として表出する。,「純粋なモンゴル人」というアイデンティティを強調することで、国家が飲み込まれるのではないかという不安を打ち消す。,[背景]清朝時代の支配の歴史や、現代における中国資本の大量流入による経済的脅威が背景にある。ナショナリズムと結びつき、日常会話で強いヘイトを伴って使用される。,市場で買った安い商品がすぐに壊れた時,「なんだこの『フジャー（Хужаа）』の品は」と罵る。,中国語の「夥計（フオジー）」や「回家（フイジア）」がなまったとされる。中国＝粗悪というレッテル。,政治家や実業家が中国と有利な取引をしているのを見た時,「あいつは『フジャー』の手先だ」と攻撃する。,少しでも親中的な態度を取る者を「敵」と認定し、愛国心を踏み絵にして社会的にキャンセルする。,モンゴル人と中国人のハーフ、あるいはそれに近い風貌の人に対して,「あいつは『エルリーズ（Эрлийз：混血・雑種）』だから信用できない」,血の純潔性を根拠にして相手の愛国心や人間性を否定する、極めて排外主義的なラベリング。
第4象限（対立の遊戯的昇華）,モンゴル,【事実】,オニソゴ（謎々）による極寒の夜の知的遊戯と緊張緩和,「底のない箱に金と銀がいっぱい（答え：天）」のような伝統的な謎々（オニソゴ）を出し合う。,長く過酷な冬のゲル（天幕）の中で、娯楽を提供するとともに、見知らぬ旅人との間の警戒心を解く。,閉鎖空間でのストレスや人間関係の摩擦を、詩的で知的なゲームに変換して平和的に解消する。,[背景]文字を持たなかった時代の口承文学・遊牧文化の遺産。単なる子供の遊びではなく、大自然の観察眼や論理的思考力を鍛え、共同体内の知的ヒエラルキーを平和的に確認する手段。,冬の夜、ゲルに泊めてもらった見知らぬ旅人と対面した時,突然、主人から「家ほどの大きさだが重さがないもの？（答え：影）」とオニソゴを出される。,直接的な身分や目的を聞く代わりに、謎解きの力量を試すことで、互いの知性を確認し合い、安全な相手だと認識する。,子供に遊牧民としての知識や自然の掟を教える時,「白い海に黒い羊が群れるものは？（答え：紙と文字）」と問いかける。,一方的に説教（対立）するのではなく、比喩を通じたゲーム形式にすることで、自発的な理解を促す。,閉鎖的なゲルの中で、家族間の雰囲気が悪くなった時,誰かが唐突にユーモラスなオニソゴを出し、正解を巡って議論を始める。,気まずい沈黙や喧嘩の火種を、第三の知的課題（謎々）に逸らすことで、関係の修復を図る文化的な安全弁。
第1象限,台湾,【都市伝説】,鬼月（旧暦7月）の禁忌語と婉曲表現,幽霊を直接「鬼」と呼ぶと不幸が訪れる、または霊を怒らせると信じられており、特定の敬称や代名詞を使わなければならないという偽マナー。,未知の恐怖に対する社会的なルールの共有と、霊的ヒエラルキー（不可視の秩序）の維持。,恐怖の緩和、言語的タブーを回避したことによる安心感。,[事実確認] 台湾の道教・民間信仰に基づく伝統だが、現代のネット社会でも「直接口にすると本当に引き寄せる」という都市伝説的な言語マナーとして広く遵守されている。,お供え物をする中元節の儀式の時,「好兄弟（ハオションディー / 良い兄弟）」,霊を身内（兄弟）のように親しげに呼ぶことで、敵意がないことを示し祟りを避ける。,病院や夜の山道など、霊が出そうな場所で話す時,「那個（ナーゴ / アレ）」,直接的な名指しを極端に恐れ、指示代名詞に置き換えることで不吉な存在を曖昧にする。,水難事故が多い夏の海や川について話す時,主語を省き「抓交替（ジュアジャオティ / 身代わりを捕まえる）」とだけ言う,水鬼（水の霊）という言葉を意図的に避け、行為だけを言うことで存在を引き寄せないようにする。
第2象限,台湾,【事実】,PTT（台湾BBS）発のインターネット・スラング,ネット掲示板PTTのユーザーが独自に生み出した隠語や比喩表現を日常的に使用する。,若者やネットユーザー間の強い連帯感の形成と、部外者の排除。,アハ体験、身内意識の高揚、シニカルなユーモアの共有。,[事実確認] 台湾最大のBBS「PTT」の特定の板（八卦板など）の歴史的事件や流行語が、台湾社会全体の若者言葉として定着した社会言語学的現象。,ネット上の議論で多数派を指す時,「?民（村人）」,映画のセリフに由来し、野次馬的な一般ネットユーザーを自嘲的かつ親しみを込めて呼ぶ。,相手に説明や対話を求める時,「?共（チュアイゴン）」,台湾語の「出來講（出てきて話せ）」の発音を漢字に当てはめた表記で、リズム感と親しみやすさを生む。,負け組や非モテを自嘲する時,「魯蛇（ルーソー）」,英語の「Loser」の音訳。漢字の字面（鈍臭い蛇）が絶妙な哀愁を帯びており、強い共感を呼ぶ。
第3象限,台湾,【事実】,政治的分断を煽るレッテル貼り（政治的スラング）,選挙や政治的議論において、対立陣営の支持者を非人間化・戯画化する特定の隠語を用いる。,対立陣営のキャンセル、自陣営の引き締めと攻撃の正当化。,敵愾心の煽動、相手を見下すことによる優越感の獲得。,[事実確認] 台湾の激しい政党対立とメディア環境が交差し、ネット上で相手を即座にラベリングして論破するための政治的ミームが大量生産されている。,民進党（緑）の熱狂的な支持者を批判・攻撃する時,「塔綠班（ターリューバーン）」,タリバンと緑（民進党のシンボルカラー）を掛け合わせ、狂信的で不寛容だと非難する言葉。,台湾民衆党の党首（柯文哲）の支持者を揶揄する時,「柯布林（ゴブリン）」,柯（カー）とゴブリンを掛け合わせ、ネット上で暗躍する気味の悪い集団というレッテルを貼る。,親中派、あるいは権力に盲従する人々を揶揄する時,「韭菜（ニラ）」,中国のネット用語由来。上が何度刈り取ってもすぐ生えてくる（騙されやすい大衆）ことを意味し嘲笑する。
第4象限,台湾,【事実】,諧音梗やサブカル隠語による社会的自嘲とガス抜き,台湾の厳しい社会状況や政治的閉塞感を、発音が似ている言葉やアニメ用語等のユーモアにすり替えて表現する。,深刻な対立や不満の遊戯的昇華、直接的な絶望感の回避。,笑いによるストレス軽減、シニカルな連帯感。,[事実確認] 中国語の豊富な同音異義語を利用した「諧音（シエイン）」は伝統的な修辞技法だが、現代では社会的ルサンチマンをユーモアで包む強力なツールとして機能している。,台湾の劣悪な労働環境や社会問題を嘆く時,「鬼島（グイダオ）」,美称である「宝島」の対義語として自国を自嘲。絶望を笑いに変える機能がある。,中国からの軍事的・政治的圧力への不安を語る時,「芒果乾（マンゴー干し）」,「亡国感（ワンゴオガン）」と発音が似ているため、重いテーマをドライフルーツの話題のように軽く語る。,台北の富裕層や特権階級をからかう時,「天龍人（ティエンロンレン）」,漫画『ONE PIECE』の特権階級の名を借りて、物価が高く選民意識のある台北市民をユーモラスに揶揄する。
第1象限,インドネシア,【事実】,親族呼称の社会的拡張（Bapak/Ibu等）,血縁関係のない他者に対しても、年齢や社会的地位に応じて親族呼称を敬称・社会的潤滑油として強制的に使用する。,社会的ヒエラルキーと秩序の維持、人間関係の摩擦回避。,安心感、相手への敬意の可視化による自己防衛。,[事実確認] ジャワ文化の強い影響を受けたインドネシア語では、相手との上下関係や年齢差を即座に位置づけるための敬称（親族呼称の流用）が語用論的に不可欠となっている。,職場で目上の男性上司や顧客に話しかける時,「Bapak（お父さん）」,相手の権威を認め、従属と敬意を示す最も標準的で不可欠な表現。,レストランや店で少し年上の若い男女店員を呼ぶ時,「Mas（兄） / Mbak（姉）」,ジャワ語由来。Bapak/Ibuほど堅苦しくなく、かつ失礼にならない絶妙な距離感を保つ。,自分より年下、あるいは親しい同輩に呼びかける時,「Adik（弟・妹） / Kakak（兄・姉）」,性別を問わず使用され、親愛の情と同時に「自分が先輩/後輩である」という秩序を再確認する。
