Category,Category_Description,Chapter_Title,ID,Title,Analysis,Relation_to_Nazokake,Basis_Research_Title,Basis_Research_Year,Basis_Research_Researcher
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第7章 比較文学・翻訳学（Comparative Literature and Translation Studies）,7.14,文化固有語（CSI）を含むジョーク翻訳における異化と帰化,翻訳学者のローレンス・ヴェヌティは、翻訳における戦略を「異化（Foreignization）」と「帰化（Domestication）」の二つに大別しました。「異化」は、原文の文化的な異質さをあえて残し、読者を外国の文脈へと引き寄せる戦略です。一方「帰化」は、原文の要素を読者の自国文化に馴染みのあるものに置き換え、滑らかで自然なテクストに仕立てる戦略です。特に、その国の歴史や風俗に根ざした「文化固有語（Culture-Specific Items: CSI）」を含むユーモアを翻訳する際、異化（直訳して注釈をつけるなど）を選択すると文化的背景は正確に伝わりますが、ユーモアとしての機能は喪失します。逆に帰化（翻案）を選択すればユーモアの表出は担保されますが、元の文化固有のニュアンスは完全に失われるという、翻訳におけるトレードオフの力学が解明されています。,なぞかけは、日本の「文化固有語（CSI）」と「同音異義語」が極限まで圧縮された言語の塊です。これを外国語に翻訳しようとしたとき、翻訳者は極端な選択を迫られます。「お題」と「オチ」の文化的背景を正確に説明する（異化）か、それとも日本語の語彙を完全に捨て去り、ターゲット言語で全く別のダジャレを作り直す（帰化）かです。なぞかけは、「ユーモア翻訳において最も優先されるべきは、意味の正確さ（異化）ではなく、認知的なカタルシスの再現（帰化）である」という事実を浮き彫りにします。翻訳されたなぞかけが笑いを生むとき、そこでは原文の日本語は完全に「帰化」によって消去されています。なぞかけの翻訳とは、オリジナルの言葉を犠牲にしてでも「笑いの機能」を守り抜くという、過酷な文化の解体と再構築のプロセスなのです。,『翻訳者の不可視性』（The Translator's Invisibility）における「異化（Foreignization）」と「帰化（Domestication）」の翻訳戦略に関する理論,1995年,Lawrence Venuti（ローレンス・ヴェヌティ / テンプル大学名誉教授）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第7章 比較文学・翻訳学（Comparative Literature and Translation Studies）,7.15,漢字文化圏における筆談的言葉遊びの翻訳可能性,中国、日本、韓国、ベトナムなどの「漢字文化圏（Sinosphere）」においては、歴史的に音声言語（話し言葉）が全く通じなくとも、知識人同士が「筆談（Brush Talk）」によって高度なコミュニケーションを行ってきました。王勇らの東アジア文化交渉史の研究によれば、漢字が表音文字（アルファベット）ではなく、形そのものに意味を内包する「表意（表語）文字」であるため、各国の発音が異なっていても、視覚的な文字情報だけで詩を詠み交わし、さらには「拆字（たくじ）」に代表されるような、文字の部首を分解・結合する言葉遊びまでもが国境を越えて共有できました。この研究は、東アジアには音声翻訳を必要としない「視覚と概念による超言語的なプラットフォーム」が存在したことを証明しています。,なぞかけは基本的に「音声の同音異義（ダジャレ）」に依存するため、音声言語の壁を越えることは容易ではありません。しかし、日本語のなぞかけの中には「『辛い（つらい）』と掛けまして、『幸せ（しあわせ）』と解く。その心は、一本（一）足せば変わります」といった、漢字の視覚的な構造（形態）を利用した謎解きが存在します。この「漢字の形態に依存したなぞかけ」に限っては、中国や韓国の知識人にも「筆談」の要領でそのまま意味とウィットが通じます。つまり、なぞかけの中には、音声のローカルな偶然性に依存する「翻訳不可能なもの」と、漢字文化圏の広大な視覚的ネットワークに直結する「超言語的な翻訳可能性を持つもの」の二種類が混在しており、東アジア特有の文字文化の二面性を鮮やかに体現しているのです。,『東亜筆談文献研究』をはじめとする、漢字文化圏における非音声的コミュニケーションの文化交渉史的分析,2015年前後（代表的編著の出版年）,王勇（おう ゆう / Wang Yong / 浙江大学日本文化研究所・浙江工商大学東亜研究院）など
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第7章 比較文学・翻訳学（Comparative Literature and Translation Studies）,7.16,西洋の「ウィット」と日本の「機知・頓知」の概念比較と受容,ハンガリー出身の思想家アーサー・ケストラーは、著書『創造の条件』において、西洋における「ウィット（Wit：機知）」やユーモアの構造を「二元結合（Bisociation）」という概念で説明しました。彼によれば、ウィットとは、普段は全く交わることのない「独立した二つの論理的枠組み（マトリックス）」が、ある一つの概念や言葉を媒介として突如として交差・結合する瞬間に生じる認知的跳躍です。この西洋の「ウィット（二元結合）」の構造は、一休さんの逸話などに代表される日本の「頓知（とんち：一見不可能な矛盾を、視点の転換によって鮮やかに解決する知恵）」と、比較文学的・認知心理学的に極めて相同性の高いメカニズムで駆動していることが分かっています。,なぞかけは、ケストラーが定義した「二元結合（Bisociation）」のメカニズムを、最も純粋かつ大衆的なフォーマットに落とし込んだ言語装置です。お題（A）と解き明かし（B）は、それぞれ交わることのない独立した二つのマトリックス（論理の枠組み）として提示されます。聴者はその断絶に戸惑いますが、「その心は（C）」というオチ（掛詞）が、二つのマトリックスを同時に貫く「結合点」として投下されます。なぞかけが見事に決まったときに私たちが感じる知的快感は、西洋文学における最高の「ウィット」や、日本の禅僧が発揮した「頓知」と全く同質のものです。なぞかけは、東西を問わず人間の認知基盤が普遍的に愛好する「二元結合のカタルシス」を、日常的な言葉遊びのレベルで精巧に再現・反復するフォーマットなのです。,『創造の条件』（The Act of Creation）における「二元結合（Bisociation）」の理論とユーモアの構造,1964年,Arthur Koestler（アーサー・ケストラー / 小説家・思想家）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第7章 比較文学・翻訳学（Comparative Literature and Translation Studies）,7.17,翻訳家の不可視性とユーモア翻訳における「創造的裏切り」,フランスの文学社会学者ロベール・エスカルピは、文学作品の受容や翻訳という行為には必ず原文の意図からの逸脱が伴うと指摘し、これを「創造的裏切り（Trahison cr?atrice）」と呼びました。どんなに正確を期しても、言語や文化の壁を越える際に原文は一度「裏切られ」ます。しかし、その裏切りによって作品は新しい言語空間で新たな生命を獲得（再創造）します。特にジョークや言葉遊びの翻訳においては、翻訳家は前述のヴェヌティが批判した「不可視性（あたかも翻訳者が存在しないかのような透明な翻訳）」を保つために、原文のジョークを丸ごと解体し、自らの手で現地の文脈に合わせたジョークを新しく書き下ろすという「不可避の裏切り」を働かざるを得ません。ここでは、原文の言語的表層を最も深く裏切ることこそが、原作者の「読者を笑わせたい」という機能的意図に最も忠実に報いる行為になるというパラドックスが存在します。,なぞかけを他言語の読者に届けるミッションを負った翻訳家は、まさにこの「創造的裏切り」の最前線に立たされます。日本語の同音異義語を用いたなぞかけを直訳しても、現地の読者には意味不明なポエムにしか見えません。翻訳家は原作者のテキスト（お題とオチ）を冷酷なまでに完全に消去（裏切り）し、自らの言語的才能を振り絞って、ターゲット言語の同音異義語を用いた「全く新しいなぞかけ」を創造しなければならないのです。なぞかけという言語芸術は、「言葉の表層への忠誠」と「笑いという効果への忠誠」が両立しないことを鋭く突きつけます。私たちが異言語間で言葉遊びの笑いを共有できる裏には、原文を破壊してでも機能的等価性（笑い）を届けようとした翻訳家による、逆説的な誠実さとしての「創造的裏切り」が隠されているのです。,『文学の社会学』（Sociologie de la litt?rature）における「創造的裏切り（Trahison cr?atrice）」の概念提唱,1958年,Robert Escarpit（ロベール・エスカルピ / ボルドー大学など）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第7章 比較文学・翻訳学（Comparative Literature and Translation Studies）,7.18,シュルレアリスムの「優美な屍骸」と日本の連歌の比較,1920年代にアンドレ・ブルトンらシュルレアリストが考案した「優美な屍骸（Cadavre Exquis）」は、参加者が前の人の書いた言葉を見ずに次々と単語を書き足し、偶然性に満ちた一つの文章を作る共同制作ゲームです。理性によるコントロールを排除し、無意識と偶然による「予期せぬイメージの衝突」を美としました。一方で、日本の「連歌（れんが）」も複数の作者による共同制作ですが、こちらは極めて厳格な規則（式目）と高度な教養（本意）に基づいて、前の句（前句）と次の句（付句）を論理的・情動的に「付ける（関連づける）」知的作業です。メキシコの詩人オクタビオ・パスらは多国籍の詩人たちと共にこの二つを比較・融合する試み（多言語による連歌の共同制作）を行い、一方は「偶然の狂気」を、もう一方は「規則の調和」を目指しながらも、どちらも「個人の意図を超えた、異質なイメージの飛躍と結合」から詩的エネルギーを生み出す点において、驚くべき普遍性を持っていることを実証しました。,なぞかけは、一人の脳内で完結する「優美な屍骸」でありながら、最終的には「連歌」として解決されるという、特異なハイブリッド構造を持っています。「〇〇と掛けまして、××と解く」というお題と解き明かしの提示段階では、まるでシュルレアリストが目隠しをして言葉を並べたかのような、論理を無視した「偶然で奇妙なイメージの衝突（優美な屍骸）」が起こります。聴者はその不条理さに混乱します。しかし、「その心は」の後に続く同音異義語が提示された瞬間、その不条理は一転して、日本の連歌が持つような「極めて厳格で論理的な調和（見事な付合）」へと姿を変えます。なぞかけは、西洋のシュルレアリスム的な「狂気（ズレ）」で聴者を惹きつけ、東洋の連歌的な「調和（オチ）」で安心させるという、二つの文学的ダイナミズムを数秒間で駆け抜ける高度な言語芸術なのです。,『連歌：多言語による共同制作詩』（Renga: A Chain of Poems）における優美な屍骸と日本の連歌の比較実践と詩学理論,1971年,"Octavio Paz（オクタビオ・パス / ノーベル文学賞受賞詩人）, Jacques Roubaud（ジャック・ルーボー）など多国籍の詩人たち"
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第7章 比較文学・翻訳学（Comparative Literature and Translation Studies）,7.19,聖書や宗教古典における「神聖な言葉遊び」の多国語翻訳史,ヘブライ語の旧約聖書などの宗教古典には、「言葉遊び（Paronomasia：語呂合わせ・同音異義）」が驚くほど頻繁に登場します。スコット・B・ノーゲルらの聖書修辞学の研究によれば、古代オリエントの世界において「音が似ている言葉」は単なる偶然やダジャレ（笑い）ではなく、「神が隠した宇宙の真理や因果関係」を示す神聖なサイン（預言的暗号）として扱われていました。しかし、ギリシャ語（七十人訳聖書）やラテン語（ウルガタ）、さらに近代語へと翻訳される過程で、意味の正確さが優先された結果、この「音声の繋がり」は完全に欠落しました。翻訳史の観点から見ると、言葉遊びが翻訳不可能であったがゆえに、元のテキストが持っていた「音声の響き合いによる神聖な呪術性」が削ぎ落され、平板で論理的な教義テキストへと変容していった歴史が明らかになっています。,なぞかけで使われる「同音異義語」は、古代の預言者たちが神の啓示を感じ取った「神聖な言葉遊び」と全く同じ音声的メカニズムで駆動しています。なぞかけが見事に決まったとき、私たちは「一見無関係な二つの事象が、実は同じ音で繋がっていた」という事実に一種の認知的跳躍を感じます。古代人はこれを「神の意志」として厳粛に受け止めましたが、現代を生きる私たちは、その神聖な奇跡のフォーマットをそのまま「笑い」へと変換する術（なぞかけ）を身につけました。なぞかけを聴いて膝を打つとき、私たちは数千年前の古代人が言葉の神秘に触れて震えたのと同じ認知的スパークを、極めて世俗的で平和なエンターテインメントとして消費しているのです。,『ダジャレと賢者たち：ヘブライ語聖書と古代近東文学における言葉遊び』（Puns and Pundits: Word Play in the Hebrew Bible and Ancient Near Eastern Literature）における聖書翻訳と修辞の分析,2000年,Scott B. Noegel（スコット・B・ノーゲル / ワシントン大学教授）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第7章 比較文学・翻訳学（Comparative Literature and Translation Studies）,7.20,コメディ作品の多言語展開における笑いのローカリゼーション品質評価,海外のシットコム（コメディドラマ）などを多言語に展開する映像翻訳（ローカリゼーション）の研究において、パトリック・ザバルベアスコアは「ジョークの翻訳類型論」を提唱しました。彼は、ユーモアの翻訳品質を評価する基準は、原文の「意味的な正確さ」ではなく、「発語媒介的な等価性（Perlocutionary equivalence）」、つまり「ターゲット言語の観客が、元の観客と全く同じタイミングで、同じ強さの笑い声を上げるかどうか」に尽きると論じました。特に、特定の言語の同音異義語に依存するジョーク（Pun）は翻訳難易度が最も高く、直訳すれば意味不明になります。そのため、高品質なローカリゼーションを行う翻訳者は、原文の言葉遊びを躊躇なく消去し、映像の尺や役者の表情に合わせて、現地の観客が爆笑する「全く別の現地語のジョーク」へと大胆に再構築（トランスクリエーション）する技術が求められることが実証されています。,もし、日本の落語やコメディ映画の劇中で「なぞかけ」が披露され、それを英語字幕でローカライズして品質評価にかける場合、ザバルベアスコアの理論が最も残酷な形で適用されます。「意味を正しく直訳した字幕」の品質評価は、笑いが全く起きないため「0点（機能的等価性ゼロ）」となります。満点の品質評価を得るためには、翻訳者は日本のなぞかけの構造（Aと掛け、Bと解く）自体を完全に解体し、画面上の演者の非言語的キュー（得意げな表情や間）に合わせて、英語圏の観客が即座に理解できる強烈な「English Pun（英語のダジャレ）」や「皮肉」に差し替えなければなりません。なぞかけは、コメディの翻訳において「言葉の真実（意味）」がいかに無価値であり、「笑いという結果（機能）」こそが唯一の正義であるという、ローカリゼーションの極端な本質を証明するための最高のリトマス試験紙なのです。,「テレビ・シチュエーション・コメディの吹替におけるジョークの翻訳」（Translating Jokes for Dubbed Television Situation Comedies / The Translator誌掲載）におけるユーモアの等価性評価と類型論,1996年,Patrick Zabalbeascoa（パトリック・ザバルベアスコア / ポンペウ・ファブラ大学 翻訳学教授）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第8章 美学・芸術学（Aesthetics and Art Theory）,8.1,なぞかけの「整い（形式美）」がもたらす知的・無関心な快,近代美学の基礎を築いたイマヌエル・カントは、著書『判断力批判』において、私たちが美しいものを見て感じる喜び（美感的快）を「無関心な快（Interesseloses Wohlgefallen）」と定義しました。これは「それがお金になるか（実用性）」や「それが道徳的に正しいか（善悪・目的）」といった、現実的な利害関心（インタレスト）から完全に切り離された純粋な喜びのことです。カントによれば、美しい芸術や自然に触れたとき、人間の心の中では「構想力（多様なイメージをまとめる力）」と「悟性（概念的なルールを理解する力）」が、特定の目的や正解に縛られることなく自由に戯れ（自由な遊び）、対象が持つ「形式の美しさ（合目的性）」そのものを見出すことで、知的で純粋な快感が引き起こされると論じました。,なぞかけを披露する際の「整いました！」という宣言は、これから提示される言葉が現実の利害や実用性とは無縁の、純粋な「形式美のゲーム」であることを告げる美学的な宣言です。私たちはなぞかけを聞いて、「Aという事象がBという事象である」という一見突飛な結びつきから、何か現実的な教訓や利益を得るわけではありません。そこで味わっているのは、まさにカントが指摘した「無関心な快」そのものです。全く無関係な二つの概念（構想力）が、たった一つの同音異義語という論理的ルール（悟性）によって見事な対称性（シンメトリー）をもって重なり合う。その「形式的な整い」の美しさ（自由な遊び）に脳が心地よく揺さぶられるとき、私たちは極めて純粋で美学的なカタルシスを経験しているのです。,『判断力批判』（Kritik der Urteilskraft）第1部「美感的判断力の批判」における無関心な快および美の形式的合目的性の理論,1790年,Immanuel Kant（イマヌエル・カント / ケーニヒスベルク大学）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第8章 美学・芸術学（Aesthetics and Art Theory）,8.2,ベルクソンの『笑い』論における「生命の機械的こわばり」,フランスの哲学者アンリ・ベルクソンは、名著『笑い』の中で、喜劇や笑いが生じる根源的なメカニズムを「生命の躍動を覆う機械的なこわばり（Du m?canique plaqu? sur du vivant）」という有名なフレーズで説明しました。本来、人間の生命や行動、そして思考（言語）は、状況に応じてしなやかに変化する「流動的で生き生きとしたもの」であるべきです。しかし、人間がその柔軟性を失い、まるでゼンマイ仕掛けの機械や自動人形のように、周囲の状況を無視して同じ動作や硬直した論理を繰り返したとき、他者はそこに「生命の機械化」を見て滑稽さを感じ、笑い（社会的な矯正のムチ）を生み出すのだと論じました。,なぞかけは、日常のしなやかな言語（生命）を、意図的に「同音異義語」という極めて硬直したアルゴリズム（機械）に当てはめることで笑いを生む装置です。私たちが普段話す言葉は、文脈に応じて意味を柔軟に変える生き生きとしたものです。しかしなぞかけの演者は、「A＝Bである、なぜなら発音が同じだからだ」という、言葉の意味論的な豊かさを完全に無視した、自動機械のように無機質で硬直した「機械的ルール（形式）」を強引に適用します。豊かでしなやかなはずの人間の思考や言語活動（生命）が、ダジャレという機械的なフォーマットにピタリとはめ込まれて身動きが取れなくなっている様（こわばり）。この「生命の機械化」を言葉のレベルで目撃するからこそ、ベルクソンの理論が示す通り、私たちはそこに抗いがたい滑稽さと爆発的な笑いを見出すのです。,『笑い：喜劇性が生じる意味について』（Le Rire: Essai sur la signification du comique）,1900年,Henri Bergson（アンリ・ベルクソン / コレージュ・ド・フランスなど）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第8章 美学・芸術学（Aesthetics and Art Theory）,8.3,「見立て」の美学に基づく日常事物の芸術化と再解釈,日本の伝統芸術（茶道、俳諧、浮世絵など）の底流には、常に「見立て（Mitate）」という特異な美学が存在します。美術史家の辻惟雄らによる日本美術の分析によれば、「見立て」とは、ある日常的な事物や卑近な対象を、全く別の高雅な古典的テーマや宗教的モチーフに重ね合わせ（二重写し）、そのギャップと類似性を同時に楽しむ知的な遊戯です。例えば、ひょうたんを花入れに見立てたり、江戸の町娘の日常風景を仏教の普賢菩薩に見立てて描いたり（鈴木春信の浮世絵『見立普賢菩薩』など）する技法です。この美学により、日本人は現実の物理的な制約を越えて、目の前のありふれた事物の中に別の宇宙を立ち上げ、日常を芸術空間へと再解釈・飛躍させる独自の想像力を育んできたことが分かっています。,「〇〇と掛けまして……」というなぞかけの基本動作は、日本の美学が誇るこの「見立て」の精神を、日常の言語空間で実行する行為に他なりません。お題として出されたありふれた事象（A）を、演者は瞬時に「全く別の世界（B）」へと見立てます。浮世絵師が絵筆と古典の知識を使って町娘を菩薩に見立てたように、なぞかけの演者は「同音異義語（C）」という言葉の絵筆を使って、日常の事物を別の文脈へと見事に再解釈してみせます。私たちがなぞかけのオチを聞いて知的な感嘆を覚えるのは、単なる言葉のパズルが解けたからではありません。ありふれた言葉の裏側に、全く別の鮮やかな情景が重なって立ち現れるという、日本古来の「見立ての美学」がもたらす視覚的・概念的なイリュージョンを、数秒間のうちに体験させられたことへの美学的な感動なのです。,『日本美術の表情』（英題: Playfulness in Japanese Art）や『奇想の図譜』等における、浮世絵や近世美術の「あそび・見立て」の美学的構造分析,1986年（『日本美術の表情』発行）,辻惟雄（つじ のぶお / 美術史家・東京大学名誉教授）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第8章 美学・芸術学（Aesthetics and Art Theory）,8.4,機知（ウィット）の歴史的概念規定と変遷,17世紀後半から18世紀にかけてのイギリス経験論および美学において、「機知（Wit）」の概念は重要な哲学的分析の対象となりました。ジョン・ロックは名著『人間悟性論』の中で、人間の知的能力を「機知（Wit）」と「判断力（Judgment）」の二つに対比させて定義しました。彼によれば、「判断力」が似たような事物の間にある微細な「違い（差異）」を厳密に見分ける理性の働きであるのに対し、「機知（ウィット）」とは、全く無関係に見える遠い観念（アイデア）の間に「素早く類似性や結合点」を見つけ出し、想像力の中に快いイメージを立ち上げる能力であると規定されました。この考察により、ウィットは単なる言葉の悪ふざけではなく、世界の中から予期せぬ繋がりを発見し、人間の想像力を豊かに飛躍させる極めて重要な知性の働きとして歴史的に位置づけられました。,なぞかけは、ロックが定義した「機知（ウィット）」という知的能力を、最も純粋なフォーマットで競い合う高度な言語遊戯です。お題（A）と解き明かし（B）という、カテゴリーも次元も全く異なる二つの遠い観念を突きつけられたとき、私たちは「両者の間に共通点などない（判断力）」と理性的には考えます。しかし、演者はその絶望的な距離を、同音異義語というたった一つの音声的ブリッジ（C）を用いて一瞬で飛び越え、鮮やかな「類似性と結合（ウィット）」を証明してみせます。私たちがなぞかけに感嘆するのは、それが単なるダジャレだからではなく、ロックが称賛した「遠い観念を瞬時に結びつける人間の想像力（ウィット）の跳躍」そのものを目の当たりにし、純粋な知的喜びに満たされるからなのです。,『人間悟性論』（An Essay Concerning Human Understanding）第2巻第11章「識別その他の心の働きについて」における機知（Wit）と判断力（Judgment）の定義,1690年,John Locke（ジョン・ロック / イギリスの哲学者）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第8章 美学・芸術学（Aesthetics and Art Theory）,8.5,アヴァンギャルド芸術（ダダイズム等）における意味の剥奪,1910年代後半、第一次世界大戦の惨劇に対する絶望からスイスで誕生した「ダダイズム（Dadaism）」は、既存の西洋的な理性や論理、そして言葉の「意味」そのものを徹底的に破壊しようとしたアヴァンギャルド芸術運動です。トリスタン・ツァラによる「新聞記事をハサミで切り刻んでデタラメに繋ぎ合わせる詩」や、フーゴ・バルによる「意味を持たない無意味な音声だけを叫ぶ音響詩（Karawane）」などに代表されるように、彼らは言葉から「意味（シニフィエ）」を強制的に剥奪し、ただの「音（シニフィアン）」や「物質」へと解体しました。美術史の観点から見ると、この意味の剥奪は、狂気に走った近代の合理主義に対する痛烈な批判であり、言葉を意味の鎖から解放して、原始的な無意識のエネルギーを取り戻すための急進的な試みであったことが分かっています。,なぞかけのオチが投下される瞬間、そこには日常の言語空間におけるミクロなダダイズム的転覆（意味の解体）が実行されています。通常、私たちは言葉を「論理的な意味を伝える道具」として真面目に使っています。しかしなぞかけの演者は、「その心は」と告げた直後に、言葉を意味論的な重力から強制的に切り離し、単なる「同じ音の響き（音響詩的次元）」という物理的レベルへと引きずり下ろします。深刻なテーマのお題であればあるほど、それが単なる音声の類似（ダジャレ）へと解体されたときの落差は大きくなります。なぞかけのカタルシスは、ダダイストたちが既存の秩序を笑い飛ばしたように、「意味や論理を重んじる真面目な現実」を、言葉の音声的なバグ（無意味）によって一瞬だけ破壊・転覆させる、アヴァンギャルドな解放感に満ちているのです。,『ダダ宣言』（Manifeste Dada 1918）およびキャバレー・ヴォルテールにおける音響詩等の実践を通じたアヴァンギャルド芸術理論,1918年（ダダ宣言発表）、1916年（キャバレー・ヴォルテール設立）,"Tristan Tzara（トリスタン・ツァラ）, Hugo Ball（フーゴ・バル）等のダダイストたち"
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第8章 美学・芸術学（Aesthetics and Art Theory）,8.6,キッチュ・キャンプ美学における「俗なるダジャレ」の価値転換,思想家スーザン・ソンタグは、1964年の記念碑的エッセイの中で「キャンプ（Camp）」という新たな美学の概念を確立しました。キャンプとは、一般的には「悪趣味」「安っぽい（キッチュ）」「大げさすぎる」と見なされるような通俗的なものを、その過剰な人工性や様式美のゆえに、あえて「魅力的である」と高く評価する倒錯的な美的感性のことです。ソンタグによれば、キャンプの精神は「深刻さの打破」にあります。高尚な芸術と低俗な大衆文化という伝統的なヒエラルキーをアイロニー（皮肉）の力で無効化し、「ひどいからこそ素晴らしい（It's good because it's awful）」という視点の転換をもたらすことで、俗悪なものを高度に洗練された知的な遊戯（アート）へと引き上げるメカニズムが解明されました。,「同音異義語（ダジャレ）」は、日常の言語活動においては軽蔑されがちな、最も安っぽく低俗（キッチュ）な言語表現です。しかし「なぞかけ」は、この通俗的なダジャレを「Aと掛けまして……その心は」という極めて厳格で、過剰なまでに様式化されたフォーマットのど真ん中に鎮座させます。この配置こそが、ソンタグの言う「キャンプの美学的転回」を引き起こすのです。私たちは、そのあまりにくだらない言葉遊びのために、演者が真剣に頭を捻り、美しい形式（アルゴリズム）を構築してみせたという「過剰な人工性」に感動し、「くだらなさが極まって逆に知的である」という倒錯的な賛辞を送るのです。なぞかけは、世界で最も陳腐な言葉遊び（ダジャレ）を、キャンプ的な美のレンズを通して「洗練された知の芸術」へと価値転換させる、極めて高度な美学的装置なのです。,"『キャンプについての覚書』（Notes on ""Camp"" / 論文集『反解釈』所収）における人工性、誇張、アイロニーに基づく新たな美学の提唱",1964年,Susan Sontag（スーザン・ソンタグ / アメリカの作家・批評家）
大分類 I：人文学および芸術（Humanities and Arts）,言語の構造そのものと、そこから生じる意味のズレ、修辞、論理的パラドックス、および文化的変遷を客観的・理論的に解明する領域。,第8章 美学・芸術学（Aesthetics and Art Theory）,8.7,パフォーマンス・アートとしての「即興なぞかけ」の身体性,演劇学者のエリカ・フィッシャー＝リヒテは、現代のパフォーマンス・アートや演劇を分析し、芸術作品は固定された「テキスト（台本）」として単独で存在するのではなく、演者と観客が同じ空間で身体を共有し、相互に作用し合うことでその場限りの出来事として立ち現れる「フィードバック・ループの自己創出（autopoietische Feedback-Schleife）」であると定義しました。この美学理論によれば、パフォーマンスの価値は「完成された作品の美しさ」にあるのではなく、演者の身体が発する緊張感、沈黙、汗、そしてそれに反応する観客の息遣いといった「身体的・空間的なエネルギーの交換プロセス」そのものに宿ることが明らかになっています。,客席から無作為なキーワードを提示され、その場で解き明かす「即興なぞかけ」は、フィッシャー＝リヒテが定義した「フィードバック・ループ」が最も純粋な形で発火するパフォーマンス・アートです。お題が提示された瞬間から、演者の脳は極度に活性化し、舞台上には張り詰めた沈黙（身体的緊張）が生まれます。観客は「果たしてうまく解けるのか？」という期待と不安を抱きながら、演者の「思考する身体」を強い緊張感をもって見つめます。そして「整いました！」という宣言とともにオチが放たれ、張り詰めた緊張が一気に爆発的な笑いと拍手（緩和）へと転化します。即興なぞかけの真の芸術性は、言葉の巧みさだけでなく、この「演者と観客の身体的緊張がリアルタイムで共鳴し合い、一つの空間的カタルシスを立ち上げる」という、極めてスリリングなライブ・パフォーマンスの力学にあるのです。,『パフォーマンスの美学』（?sthetik des Performativen）における「フィードバック・ループの自己創出」の理論,2004年,Erika Fischer-Lichte（エリカ・フィッシャー＝リヒテ / ベルリン自由大学 演劇学教授）
